show_id,type,title,date_added,release_year,rating,duration_value,duration_unit
s1,Movie,"""Dick Johnson Is Dead""",2021-09-25,2020,PG-13,90,min
s2,TV Show,"""Blood & Water""",2021-09-26,2021,TV-MA,2,Season
s3,TV Show,"""Ganglands""",2021-09-27,2021,TV-MA,1,Season
s4,TV Show,"""Jailbirds New Orleans""",2021-09-28,2021,TV-MA,1,Season
s5,TV Show,"""Kota Factory""",2021-09-29,2021,TV-MA,2,Season
s6,TV Show,"""Midnight Mass""",2021-09-30,2021,TV-MA,1,Season
s7,Movie,"""My Little Pony: A New Generation""",2021-10-01,2021,PG,91,min
s8,Movie,"""Sankofa""",2021-10-02,1993,TV-MA,125,min
s9,TV Show,"""The Great British Baking Show""",2021-10-03,2021,TV-14,9,Season
s10,Movie,"""The Starling""",2021-10-04,2021,PG-13,104,min
s11,TV Show,"""Vendetta: Truth, Lies and The Mafia""",2021-10-05,2021,TV-MA,1,Season
s12,TV Show,"""Bangkok Breaking""",2021-10-06,2021,TV-MA,1,Season
s13,Movie,"""Je Suis Karl""",2021-10-07,2021,TV-MA,127,min
s14,Movie,"""Confessions of an Invisible Girl""",2021-10-08,2021,TV-PG,91,min
s15,TV Show,"""Crime Stories: India Detectives""",2021-10-09,2021,TV-MA,1,Season
s16,TV Show,"""Dear White People""",2021-10-10,2021,TV-MA,4,Season
s17,Movie,"""Europe's Most Dangerous Man: Otto Skorzeny in Spain""",2021-10-11,2020,TV-MA,67,min
s18,TV Show,"""Falsa identidad""",2021-10-12,2020,TV-MA,2,Season
s19,Movie,"""Intrusion""",2021-10-13,2021,TV-14,94,min
s20,TV Show,"""Jaguar""",2021-10-14,2021,TV-MA,1,Season
s21,TV Show,"""Monsters Inside: The 24 Faces of Billy Milligan""",2021-10-15,2021,TV-14,1,Season
s22,TV Show,"""Resurrection: Ertugrul""",2021-10-16,2018,TV-14,5,Season
s23,Movie,"""Avvai Shanmughi""",2021-10-17,1996,TV-PG,161,min
